timestamp,data
9376000,34.0
9377000,48.0
9378000,24.0
9379000,32.0
9380000,32.0
9381000,43.0
9382000,51.0
9383000,40.0
9384000,38.0
9385000,36.0
9386000,37.0
9387000,32.0
9388000,34.0
9389000,27.0
9390000,37.0
9391000,47.0
9392000,33.0
9393000,35.0
9394000,34.0
9395000,31.0
9396000,46.0
9397000,34.0
9398000,34.0
9399000,38.0
9400000,32.0
9401000,42.0
9402000,43.0
9403000,42.0
9404000,44.0
9405000,35.0
9406000,54.0
9407000,36.0
9408000,39.0
9409000,37.0
9410000,37.0
9411000,45.0
9412000,49.0
9413000,38.0
9414000,47.0
9415000,35.0
9416000,41.0
9417000,34.0
9418000,39.0
9419000,45.0
9420000,37.0
9421000,37.0
9422000,37.0
9423000,40.0
9424000,45.0
9425000,32.0
9426000,40.0
9427000,48.0
9428000,45.0
9429000,35.0
9430000,50.0
9431000,41.0
9432000,42.0
9433000,41.0
9434000,37.0
9435000,47.0
9436000,35.0
9437000,35.0
9438000,31.0
9439000,36.0
9440000,46.0
9441000,41.0
9442000,31.0
9443000,34.0
9444000,37.0
9445000,51.0
9446000,41.0
9447000,38.0
9448000,33.0
9449000,38.0
9450000,36.0
9451000,41.0
9452000,36.0
9453000,35.0
9454000,37.0
9455000,41.0
9456000,36.0
9457000,56.0
9458000,32.0
9459000,37.0
9460000,32.0
9461000,33.0
9462000,41.0
9463000,51.0
9464000,41.0
9465000,25.0
9466000,33.0
9467000,34.0
9468000,47.0
9469000,33.0
9470000,31.0
9471000,40.0
9472000,51.0
9473000,38.0
9474000,44.0
9475000,41.0
9476000,38.0
9477000,31.0
9478000,37.0
9479000,52.0
9480000,42.0
9481000,39.0
9482000,41.0
9483000,43.0
9484000,58.0
9485000,39.0
9486000,42.0
9487000,49.0
9488000,35.0
9489000,32.0
9490000,42.0
9491000,32.0
9492000,37.0
9493000,42.0
9494000,50.0
9495000,33.0
9496000,49.0
9497000,37.0
9498000,51.0
9499000,34.0
9500000,34.0
9501000,35.0
9502000,39.0
9503000,32.0
9504000,41.0
9505000,46.0
9506000,47.0
9507000,53.0
9508000,42.0
9509000,46.0
9510000,38.0
9511000,23.0
9512000,37.0
9513000,38.0
9514000,30.0
9515000,35.0
9516000,45.0
9517000,39.0
9518000,48.0
9519000,36.0
9520000,39.0
9521000,47.0
9522000,42.0
9523000,45.0
9524000,34.0
9525000,38.0
9526000,42.0
9527000,31.0
9528000,32.0
9529000,36.0
9530000,36.0
9531000,51.0
9532000,45.0
9533000,35.0
9534000,32.0
9535000,34.0
9536000,32.0
9537000,38.0
9538000,46.0
9539000,44.0
9540000,45.0
9541000,31.0
9542000,46.0
9543000,47.0
9544000,44.0
9545000,37.0
9546000,44.0
9547000,27.0
9548000,42.0
9549000,42.0
9550000,35.0
9551000,36.0
9552000,44.0
9553000,41.0
9554000,47.0
9555000,45.0
9556000,49.0
9557000,56.0
9558000,56.0
9559000,31.0
9560000,36.0
9561000,50.0
9562000,43.0
9563000,47.0
9564000,42.0
9565000,49.0
9566000,29.0
9567000,32.0
9568000,34.0
9569000,43.0
9570000,47.0
9571000,36.0
9572000,37.0
9573000,31.0
9574000,39.0
9575000,30.0
9576000,36.0
9577000,32.0
9578000,46.0
9579000,50.0
9580000,39.0
9581000,39.0
9582000,35.0
9583000,52.0
9584000,37.0
9585000,41.0
9586000,34.0
9587000,47.0
9588000,26.0
9589000,33.0
9590000,33.0
9591000,42.0
9592000,40.0
9593000,39.0
9594000,39.0
9595000,28.0
9596000,39.0
9597000,32.0
9598000,35.0
9599000,42.0
9600000,57.0
9601000,35.0
9602000,38.0
9603000,45.0
9604000,41.0
9605000,42.0
9606000,48.0
9607000,40.0
9608000,48.0
9609000,44.0
9610000,44.0
9611000,45.0
9612000,34.0
9613000,50.0
9614000,44.0
9615000,45.0
9616000,38.0
9617000,28.0
9618000,39.0
9619000,42.0
9620000,42.0
9621000,34.0
9622000,46.0
9623000,47.0
9624000,44.0
9625000,42.0
9626000,36.0
9627000,39.0
9628000,37.0
9629000,34.0
9630000,32.0
9631000,54.0
9632000,45.0
9633000,46.0
9634000,50.0
9635000,45.0
9636000,43.0
9637000,50.0
9638000,41.0
9639000,38.0
9640000,48.0
9641000,38.0
9642000,42.0
9643000,52.0
9644000,44.0
9645000,35.0
9646000,32.0
9647000,28.0
9648000,37.0
9649000,48.0
9650000,41.0
9651000,42.0
9652000,42.0
9653000,35.0
9654000,39.0
9655000,40.0
9656000,41.0
9657000,36.0
9658000,38.0
9659000,37.0
9660000,36.0
9661000,35.0
9662000,39.0
9663000,47.0
9664000,44.0
9665000,32.0
9666000,50.0
9667000,47.0
9668000,45.0
9669000,39.0
9670000,39.0
9671000,28.0
9672000,52.0
9673000,45.0
9674000,41.0
9675000,32.0
9676000,46.0
9677000,37.0
9678000,30.0
9679000,31.0
9680000,39.0
9681000,51.0
9682000,33.0
9683000,46.0
9684000,49.0
9685000,34.0
9686000,43.0
9687000,44.0
9688000,41.0
9689000,43.0
9690000,30.0
9691000,31.0
9692000,44.0
9693000,41.0
9694000,44.0
9695000,32.0
9696000,38.0
9697000,37.0
9698000,45.0
9699000,35.0
9700000,38.0
9701000,45.0
9702000,38.0
9703000,45.0
9704000,40.0
9705000,38.0
9706000,53.0
9707000,51.0
9708000,42.0
9709000,42.0
9710000,36.0
9711000,31.0
9712000,39.0
9713000,47.0
9714000,36.0
9715000,45.0
9716000,41.0
9717000,44.0
9718000,44.0
9719000,22.0
9720000,27.0
9721000,41.0
9722000,43.0
9723000,26.0
9724000,54.0
9725000,47.0
9726000,28.0
9727000,44.0
9728000,42.0
9729000,49.0
9730000,28.0
9731000,40.0
9732000,40.0
9733000,37.0
9734000,37.0
9735000,39.0
9736000,30.0
9737000,40.0
9738000,40.0
9739000,43.0
9740000,49.0
9741000,43.0
9742000,49.0
9743000,44.0
9744000,36.0
9745000,37.0
9746000,36.0
9747000,47.0
9748000,46.0
9749000,36.0
9750000,50.0
9751000,36.0
9752000,44.0
9753000,40.0
9754000,40.0
9755000,51.0
9756000,47.0
9757000,32.0
9758000,39.0
9759000,36.0
9760000,41.0
9761000,34.0
9762000,43.0
9763000,43.0
9764000,46.0
9765000,55.0
9766000,59.0
9767000,44.0
9768000,34.0
9769000,45.0
9770000,42.0
9771000,46.0
9772000,39.0
9773000,44.0
9774000,42.0
9775000,39.0
9776000,37.0
9777000,42.0
9778000,37.0
9779000,31.0
9780000,46.0
9781000,41.0
9782000,49.0
9783000,49.0
9784000,43.0
9785000,49.0
9786000,49.0
9787000,48.0
9788000,31.0
9789000,43.0
9790000,34.0
9791000,36.0
9792000,38.0
9793000,36.0
9794000,42.0
9795000,41.0
9796000,36.0
9797000,41.0
9798000,51.0
9799000,30.0
9800000,31.0
9801000,31.0
9802000,36.0
9803000,47.0
9804000,36.0
9805000,41.0
9806000,29.0
9807000,48.0
9808000,40.0
9809000,43.0
9810000,35.0
9811000,44.0
9812000,35.0
9813000,48.0
9814000,36.0
9815000,48.0
9816000,53.0
9817000,44.0
9818000,45.0
9819000,30.0
9820000,38.0
9821000,40.0
9822000,37.0
9823000,41.0
9824000,37.0
9825000,37.0
9826000,55.0
9827000,44.0
9828000,29.0
9829000,35.0
9830000,49.0
9831000,43.0
9832000,35.0
9833000,37.0
9834000,31.0
9835000,45.0
9836000,42.0
9837000,39.0
9838000,40.0
9839000,38.0
9840000,41.0
9841000,37.0
9842000,20.0
9843000,37.0
9844000,41.0
9845000,40.0
9846000,42.0
9847000,40.0
9848000,42.0
9849000,24.0
9850000,33.0
9851000,40.0
9852000,46.0
9853000,48.0
9854000,43.0
9855000,55.0
9856000,40.0
9857000,43.0
9858000,40.0
9859000,34.0
9860000,52.0
9861000,42.0
9862000,34.0
9863000,39.0
9864000,43.0
9865000,41.0
9866000,39.0
9867000,38.0
9868000,45.0
9869000,52.0
9870000,40.0
9871000,42.0
9872000,44.0
9873000,35.0
9874000,41.0
9875000,39.0
9876000,41.0
9877000,44.0
9878000,43.0
9879000,41.0
9880000,40.0
9881000,37.0
9882000,33.0
9883000,43.0
9884000,30.0
9885000,38.0
9886000,32.0
9887000,44.0
9888000,42.0
9889000,39.0
9890000,41.0
9891000,36.0
9892000,39.0
9893000,41.0
9894000,35.0
9895000,25.0
9896000,42.0
9897000,32.0
9898000,54.0
9899000,55.0
9900000,37.0
9901000,42.0
9902000,33.0
9903000,45.0
9904000,39.0
9905000,33.0
9906000,41.0
9907000,27.0
9908000,32.0
9909000,40.0
9910000,30.0
9911000,48.0
9912000,35.0
9913000,38.0
9914000,37.0
9915000,28.0
9916000,41.0
9917000,39.0
9918000,39.0
9919000,50.0
9920000,50.0
9921000,40.0
9922000,46.0
9923000,43.0
9924000,43.0
9925000,33.0
9926000,36.0
9927000,38.0
9928000,34.0
9929000,36.0
9930000,35.0
9931000,52.0
9932000,37.0
9933000,36.0
9934000,36.0
9935000,47.0
9936000,40.0
9937000,33.0
9938000,51.0
9939000,37.0
9940000,53.0
9941000,49.0
9942000,29.0
9943000,35.0
9944000,31.0
9945000,37.0
9946000,44.0
9947000,42.0
9948000,29.0
9949000,39.0
9950000,36.0
9951000,42.0
9952000,37.0
9953000,46.0
9954000,36.0
9955000,37.0
9956000,31.0
9957000,40.0
9958000,49.0
9959000,35.0
9960000,40.0
9961000,52.0
9962000,37.0
9963000,46.0
9964000,46.0
9965000,49.0
9966000,42.0
9967000,41.0
9968000,50.0
9969000,47.0
9970000,40.0
9971000,33.0
9972000,43.0
9973000,27.0
9974000,40.0
9975000,41.0
9976000,39.0
9977000,38.0
9978000,38.0
9979000,37.0
9980000,38.0
9981000,45.0
9982000,48.0
9983000,30.0
9984000,34.0
9985000,38.0
9986000,32.0
9987000,29.0
9988000,51.0
9989000,46.0
9990000,29.0
9991000,37.0
9992000,29.0
9993000,38.0
9994000,34.0
9995000,49.0
9996000,44.0
9997000,38.0
9998000,43.0
9999000,32.0
10000000,36.0
10001000,33.0
10002000,50.0
10003000,30.0
10004000,31.0
10005000,39.0
10006000,43.0
10007000,32.0
10008000,38.0
10009000,46.0
10010000,46.0
10011000,35.0
10012000,31.0
10013000,44.0
10014000,37.0
10015000,43.0
10016000,55.0
10017000,44.0
10018000,42.0
10019000,45.0
10020000,39.0
10021000,35.0
10022000,42.0
10023000,46.0
10024000,41.0
10025000,39.0
10026000,33.0
10027000,43.0
10028000,47.0
10029000,32.0
10030000,28.0
10031000,42.0
10032000,34.0
10033000,37.0
10034000,35.0
10035000,44.0
10036000,45.0
10037000,34.0
10038000,36.0
10039000,48.0
10040000,40.0
10041000,52.0
10042000,44.0
10043000,44.0
10044000,33.0
10045000,37.0
10046000,33.0
10047000,41.0
10048000,38.0
10049000,36.0
10050000,47.0
10051000,39.0
10052000,34.0
10053000,34.0
10054000,31.0
10055000,47.0
10056000,30.0
10057000,44.0
10058000,38.0
10059000,45.0
10060000,44.0
10061000,44.0
10062000,29.0
